INDEX,LINK,LINK_RTF
 T-706-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-706-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-706-99.rtf 
 T-705-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-705-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-705-99.rtf 
 T-704-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-704-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-704-99.rtf 
 T-703-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-703-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-703-99.rtf 
 T-701-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-701-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-701-99.rtf 
 T-699-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-699-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-699-99.rtf 
 T-698-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-698-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-698-99.rtf 
 T-697-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-697-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-697-99.rtf 
 T-696-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-696-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-696-99.rtf 
 T-695-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-695-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-695-99.rtf 
 T-693-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-693-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-693-99.rtf 
 T-692-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-692-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-692-99.rtf 
 T-691-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-691-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-691-99.rtf 
 T-690-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-690-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-690-99.rtf 
 T-689-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-689-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-689-99.rtf 
 T-688-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-688-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-688-99.rtf 
 T-687-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-687-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-687-99.rtf 
 T-686-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-686-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-686-99.rtf 
 T-685-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-685-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-685-99.rtf 
 T-684-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-684-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-684-99.rtf 
 T-683-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-683-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-683-99.rtf 
 T-682-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-682-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-682-99.rtf 
 T-681-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-681-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-681-99.rtf 
 T-680-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-680-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-680-99.rtf 
 T-679-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-679-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-679-99.rtf 
 T-678-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-678-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-678-99.rtf 
 T-677-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-677-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-677-99.rtf 
 T-670-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-670-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-670-99.rtf 
 T-669-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-669-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-669-99.rtf 
 T-668-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-668-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-668-99.rtf 
 T-667-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-667-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-667-99.rtf 
 T-666-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-666-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-666-99.rtf 
 T-665-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-665-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-665-99.rtf 
 T-664-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-664-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-664-99.rtf 
 T-663-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-663-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-663-99.rtf 
 T-662-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-662-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-662-99.rtf 
 T-661-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-661-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-661-99.rtf 
 T-660-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-660-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-660-99.rtf 
 T-659-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-659-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-659-99.rtf 
 T-658-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-658-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-658-99.rtf 
 T-657-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-657-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-657-99.rtf 
 T-656-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-656-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-656-99.rtf 
 T-655-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-655-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-655-99.rtf 
 T-654-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-654-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-654-99.rtf 
 T-653-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-653-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-653-99.rtf 
 T-652-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-652-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-652-99.rtf 
 T-651-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-651-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-651-99.rtf 
 T-650-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-650-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-650-99.rtf 
 T-649-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-649-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-649-99.rtf 
 T-648-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-648-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-648-99.rtf 
 T-647-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-647-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-647-99.rtf 
 T-641-99,https://www.corteconstitucional.gov.co/Relatoria/1999/T-641-99.htm,https://www.corteconstitucional.gov.co/sentencias/1999/T-641-99.rtf 
